cohesion_kPa,unit_weight_kNm3,slope_height_m,slope_angle_deg,friction_angle_deg,water_table_ratio,af_seismic_coeff,nf_param,mf_param,teetas_param,stability_number,FOS,stability_status
22.33,18.22,30.9,38.4,28.7,37.6,827.0,4.65,0.12,0.34,0.0397,3.44543,Stable
22.76,18.22,31.3,38.7,28.9,37.96,834.86,4.69,0.15,0.34,0.0399,3.45148,Stable
23.19,18.21,31.7,39.1,29.1,38.31,842.73,4.73,0.17,0.34,0.0402,3.4556,Stable
23.62,18.22,32.0,39.4,29.4,38.66,850.6,4.76,0.19,0.35,0.0405,3.48021,Stable
24.06,18.21,32.4,39.8,29.6,39.02,858.46,4.8,0.22,0.35,0.0408,3.48481,Stable
24.49,18.21,32.8,40.2,29.8,39.37,866.33,4.84,0.24,0.35,0.041,3.48833,Stable
24.92,18.21,33.2,40.5,30.1,39.73,874.19,4.88,0.26,0.35,0.0412,3.50932,Stable
25.36,18.21,33.6,40.9,30.3,40.08,882.06,4.92,0.29,0.36,0.0414,3.51285,Stable
25.79,18.21,34.0,41.2,30.6,40.44,889.93,4.96,0.31,0.36,0.0417,3.53458,Stable
26.22,18.21,34.4,41.6,30.8,40.79,897.79,0.01,0.33,0.36,0.0419,3.38767,Stable
26.66,18.22,34.8,41.9,31.0,41.14,905.66,0.05,0.36,0.36,0.042,3.38267,Stable
27.09,18.22,35.2,42.3,31.3,41.5,913.53,0.09,0.38,0.37,0.0422,3.39316,Stable
27.52,18.21,35.6,42.6,31.5,41.85,921.39,0.13,0.4,0.37,0.0425,3.39665,Stable
27.96,18.21,36.0,43.0,31.7,42.21,929.26,0.17,0.43,0.37,0.0427,3.39058,Stable
28.39,18.21,36.4,43.4,32.0,42.56,937.12,0.21,0.45,0.37,0.0428,3.40027,Stable
28.82,18.21,36.8,43.7,32.2,42.92,944.99,0.25,0.47,0.38,0.043,3.40206,Stable
29.25,18.21,37.2,44.1,32.4,43.27,952.86,0.29,0.5,0.38,0.0432,3.39733,Stable
29.69,18.21,37.6,44.4,32.7,43.62,960.72,0.32,0.52,0.38,0.0434,3.40875,Stable
30.12,18.21,38.0,44.8,32.9,43.98,968.59,0.36,0.54,0.38,0.0435,3.40775,Stable
30.55,18.22,38.4,45.1,33.2,44.33,976.45,0.4,0.57,0.39,0.0437,3.41698,Stable
30.99,18.21,38.7,45.5,33.4,44.69,984.32,0.44,0.59,0.39,0.044,3.42385,Stable
31.42,18.21,39.1,45.8,33.6,45.04,992.19,0.48,0.61,0.39,0.0441,3.427,Stable
31.85,18.21,39.5,46.2,33.9,45.4,1.05,0.52,0.64,0.39,0.0443,2.45345,Stable
32.29,18.21,39.9,46.5,34.1,45.75,8.92,0.56,0.66,0.39,0.0444,2.64114,Stable
32.72,18.22,40.3,46.9,34.3,46.1,16.79,0.6,0.68,0.4,0.0446,2.6748,Stable
33.15,18.21,40.7,47.2,34.6,46.46,24.65,0.64,0.71,0.4,0.0447,2.68339,Stable
33.59,18.22,41.1,47.6,34.8,46.81,32.52,0.68,0.73,0.4,0.0449,2.67938,Stable
34.02,18.22,41.5,48.0,35.0,47.17,40.38,0.72,0.76,0.4,0.045,2.65874,Stable
34.45,18.21,41.9,48.3,35.3,47.52,48.25,0.76,0.78,0.41,0.0452,2.65882,Stable
34.88,18.21,42.3,48.7,35.5,47.88,56.12,0.8,0.8,0.41,0.0453,2.64333,Stable
35.32,18.21,42.7,49.0,35.8,48.23,63.98,0.84,0.83,0.41,0.0454,2.62776,Stable
35.75,18.22,43.1,49.4,36.0,48.59,71.85,0.87,0.85,0.41,0.0455,2.61649,Stable
36.18,18.22,43.5,49.7,36.2,48.94,79.71,0.91,0.87,0.42,0.0456,2.60089,Stable
36.62,18.21,43.9,50.1,36.5,49.29,87.58,0.95,0.9,0.42,0.0458,2.58137,Stable
37.05,18.21,44.2,50.4,36.7,49.65,95.45,0.99,0.92,0.42,0.046,2.56836,Stable
37.48,18.21,44.6,50.8,36.9,5.0,103.31,1.03,0.94,0.42,0.0461,1.91386,Stable
37.92,18.21,45.0,51.1,37.2,5.36,111.18,1.07,0.97,0.43,0.0463,1.92743,Stable
38.35,18.21,45.4,51.5,37.4,5.71,119.04,1.11,0.99,0.43,0.0464,1.93388,Stable
38.78,18.22,45.8,51.8,37.6,6.07,126.91,1.15,1.01,0.43,0.0465,1.94299,Stable
39.22,18.21,46.2,52.2,37.9,6.42,134.78,1.19,1.04,0.43,0.0466,1.95269,Stable
39.65,18.22,46.6,52.6,38.1,6.77,142.64,1.23,1.06,0.43,0.0467,1.95848,Stable
40.08,18.22,47.0,52.9,38.4,7.13,150.51,1.27,1.08,0.44,0.0468,1.97351,Stable
40.51,18.22,47.4,53.3,38.6,7.48,158.38,1.31,1.11,0.44,0.0469,1.97676,Stable
40.95,18.21,47.8,53.6,38.8,7.84,166.24,1.35,1.13,0.44,0.047,1.98611,Stable
41.38,18.21,48.2,54.0,39.1,8.19,174.11,1.39,1.15,0.44,0.0471,1.99788,Stable
41.81,18.22,48.6,54.3,39.3,8.55,181.97,1.42,1.18,0.45,0.0472,2.0043,Stable
42.25,18.21,49.0,54.7,39.5,8.9,189.84,1.46,1.2,0.45,0.0474,2.01077,Stable
42.68,18.22,49.4,55.0,39.8,9.25,197.71,1.5,1.22,0.45,0.0474,2.02387,Stable
43.11,18.21,49.8,55.4,10.0,9.61,205.57,1.54,1.25,0.45,0.0475,0.67683,Unstable
43.55,18.22,50.2,55.8,10.2,9.96,213.44,1.58,1.27,0.46,0.0476,0.68278,Unstable
43.98,18.22,50.6,56.1,10.5,10.32,221.3,1.62,1.29,0.46,0.0477,0.6932,Unstable
44.41,18.21,51.0,56.5,10.7,10.67,229.17,1.66,1.32,0.46,0.0478,0.69865,Unstable
44.85,18.22,51.3,56.8,11.0,11.03,237.04,1.7,1.34,0.46,0.048,0.70987,Unstable
45.28,18.22,51.7,57.2,11.2,11.38,244.9,1.74,1.36,0.47,0.0481,0.71592,Unstable
45.71,18.21,52.1,57.5,11.4,11.73,252.77,1.78,1.39,0.47,0.0482,0.72208,Unstable
46.14,18.21,52.5,57.9,11.7,12.09,260.64,1.82,1.41,0.47,0.0483,0.73189,Unstable
46.58,18.22,52.9,58.2,11.9,12.44,268.5,1.86,1.43,0.47,0.0483,0.73794,Unstable
47.01,18.21,53.3,58.6,12.1,12.8,276.37,1.9,1.46,0.47,0.0484,0.74366,Unstable
47.44,18.21,53.7,58.9,12.4,13.15,284.23,1.94,1.48,0.48,0.0485,0.7542,Unstable
47.88,18.21,54.1,59.3,12.6,13.51,292.1,1.97,1.5,0.48,0.0486,0.7602,Unstable
48.31,18.21,54.5,59.6,12.8,13.86,299.97,2.01,1.53,0.48,0.0487,0.76542,Unstable
48.74,18.21,54.9,15.0,13.1,14.21,307.83,2.05,1.55,0.48,0.0488,1.71669,Stable
49.18,18.21,55.3,15.4,13.3,14.57,315.7,2.09,1.57,0.49,0.0488,1.71221,Stable
49.61,18.21,55.7,15.7,13.5,14.92,323.56,2.13,1.6,0.49,0.0489,1.71541,Stable
50.04,18.21,56.1,16.1,13.8,15.28,331.43,2.17,1.62,0.49,0.049,1.72339,Stable
50.48,18.22,56.5,16.4,14.0,15.63,339.3,2.21,1.64,0.49,0.049,1.72749,Stable
50.91,18.21,56.8,16.8,14.2,15.99,347.16,2.25,1.67,0.5,0.0492,1.72873,Stable
51.34,18.21,57.2,17.1,14.5,16.34,355.03,2.29,1.69,0.5,0.0493,1.74486,Stable
51.77,18.21,57.6,17.5,14.7,16.7,362.9,2.33,1.71,0.5,0.0494,1.74621,Stable
52.21,18.21,58.0,17.8,15.0,17.05,370.76,2.37,1.74,0.5,0.0494,1.7608,Stable
52.64,18.21,58.4,18.2,15.2,17.4,378.63,2.41,1.76,0.51,0.0495,1.76181,Stable
53.07,18.22,58.8,18.6,15.4,17.76,386.49,2.45,1.78,0.51,0.0495,1.76226,Stable
53.51,18.22,59.2,18.9,15.7,18.11,394.36,2.49,1.81,0.51,0.0496,1.77787,Stable
53.94,18.2,59.6,19.2,15.9,18.47,402.23,2.52,1.83,0.51,0.0497,1.78524,Stable
54.37,18.21,10.0,19.6,16.1,18.82,410.09,2.56,1.85,0.51,0.2986,5.1169,Stable
54.81,18.22,10.4,20.0,16.4,19.18,417.96,2.6,1.88,0.52,0.2893,5.02867,Stable
55.24,18.21,10.8,20.3,16.6,19.53,425.82,2.64,1.9,0.52,0.2809,4.94283,Stable
55.67,18.21,11.2,20.7,16.8,19.88,433.69,2.68,1.92,0.52,0.273,4.85429,Stable
56.11,18.21,11.6,21.0,17.1,20.24,441.56,2.72,1.95,0.52,0.2656,4.7987,Stable
56.54,18.22,12.0,21.4,17.3,20.59,449.42,2.76,1.97,0.53,0.2586,4.72297,Stable
56.97,18.22,12.4,21.7,17.6,20.95,457.29,2.8,1.99,0.53,0.2522,4.68034,Stable
57.4,18.21,12.8,22.1,17.8,21.3,465.16,2.84,2.02,0.53,0.2463,4.61951,Stable
57.84,18.21,13.2,22.4,18.0,21.66,473.02,2.88,2.04,0.53,0.2406,4.56955,Stable
58.27,18.21,13.6,22.8,18.3,22.01,480.89,2.92,2.06,0.54,0.2353,4.53357,Stable
58.7,18.21,13.9,23.2,18.5,22.36,488.75,2.96,2.09,0.54,0.2319,4.50595,Stable
59.14,18.21,14.3,23.5,18.7,22.72,496.62,3.0,2.11,0.54,0.2271,4.46539,Stable
59.57,18.21,14.7,23.9,19.0,23.07,504.49,3.04,2.13,0.54,0.2225,4.43639,Stable
5.16,18.23,15.7,25.0,20.0,24.98,554.59,3.33,2.33,0.57,0.018,3.00823,Stable
5.6,18.23,16.0,25.4,20.2,25.33,562.46,3.36,2.35,0.57,0.0192,3.01828,Stable
6.03,18.23,16.4,25.8,20.5,25.68,570.32,3.4,2.38,0.57,0.0202,3.03238,Stable
6.46,18.23,16.8,26.1,20.7,26.04,578.19,3.44,2.4,0.57,0.0211,3.0368,Stable
6.9,18.23,17.2,26.5,21.0,26.39,586.06,3.48,2.42,0.57,0.022,3.05108,Stable
7.33,18.23,17.6,26.8,21.2,26.75,593.92,3.52,2.45,0.58,0.0228,3.05482,Stable
7.76,18.23,18.0,27.2,21.4,27.1,601.79,3.56,2.47,0.58,0.0236,3.05432,Stable
8.19,18.22,18.4,27.5,21.7,27.46,609.66,3.6,2.49,0.58,0.0244,3.07555,Stable
8.63,18.23,18.8,27.9,21.9,27.81,617.52,3.64,2.52,0.58,0.0252,3.07511,Stable
9.06,18.23,19.2,28.2,22.1,28.16,625.39,3.68,2.54,0.59,0.0259,3.08085,Stable
9.49,18.22,19.6,28.6,22.4,28.52,633.25,3.72,2.56,0.59,0.0266,3.09822,Stable
9.93,18.22,20.0,29.0,22.6,28.87,641.12,3.76,2.59,0.59,0.0273,3.10013,Stable
10.36,18.23,20.4,29.3,22.8,29.23,648.99,3.8,2.61,0.59,0.0279,3.10628,Stable
10.79,18.22,20.8,29.7,23.1,29.58,656.85,3.84,2.63,0.6,0.0285,3.12407,Stable
11.23,18.23,21.2,30.0,23.3,29.94,664.72,3.88,2.66,0.6,0.0291,3.13015,Stable
11.66,18.23,21.6,30.4,23.6,30.29,672.58,3.91,2.68,0.3,0.0296,3.14558,Stable
12.09,18.23,22.0,30.7,23.8,30.65,680.45,3.95,2.7,0.3,0.0301,3.15247,Stable
12.53,18.22,22.4,31.1,24.0,31.0,688.32,3.99,2.73,0.31,0.0307,3.15587,Stable
12.96,18.22,22.8,31.4,24.3,31.35,696.18,4.03,2.75,0.31,0.0312,3.17636,Stable
13.39,18.22,23.1,31.8,24.5,31.71,704.05,4.07,2.77,0.31,0.0318,3.1867,Stable
13.82,18.22,23.5,32.1,24.7,32.06,711.92,4.11,2.8,0.31,0.0323,3.19293,Stable
14.26,18.23,23.9,32.5,25.0,32.42,719.78,4.15,2.82,0.32,0.0327,3.20739,Stable
14.69,18.23,24.3,32.8,25.2,32.77,727.65,4.19,2.85,0.32,0.0332,3.21395,Stable
15.12,18.24,24.7,33.2,25.4,33.13,735.51,4.23,2.87,0.32,0.0336,3.2156,Stable
15.56,18.22,25.1,33.6,25.7,33.48,743.38,4.27,2.89,0.32,0.034,3.23368,Stable
15.99,18.23,25.5,33.9,25.9,33.83,751.25,4.31,2.92,0.32,0.0344,3.23974,Stable
16.42,18.23,25.9,34.3,26.2,34.19,759.11,4.35,2.94,0.33,0.0348,3.25698,Stable
16.86,18.23,26.3,34.6,26.4,34.54,766.98,4.39,2.96,0.33,0.0352,3.26508,Stable
17.29,18.23,26.7,35.0,26.6,34.9,774.84,4.43,2.99,0.33,0.0355,3.26859,Stable
17.72,18.23,27.1,35.3,26.9,35.25,782.71,4.46,0.04,0.33,0.0359,3.42891,Stable
18.16,18.22,27.5,35.7,27.1,35.61,790.58,4.5,0.06,0.34,0.0362,3.43321,Stable
18.59,18.23,27.9,36.0,27.3,35.96,798.44,4.54,0.09,0.34,0.0366,3.43906,Stable
19.02,18.23,28.3,36.4,27.6,36.31,806.31,4.58,0.11,0.34,0.0369,3.4555,Stable
19.45,18.23,28.6,36.8,27.8,36.67,814.18,4.62,0.13,0.34,0.0373,3.46516,Stable
19.89,18.23,29.0,37.1,28.0,37.02,822.04,4.66,0.16,0.35,0.0376,3.47125,Stable
20.32,18.24,29.4,37.5,28.3,37.38,829.91,4.7,0.18,0.35,0.0379,3.48662,Stable
20.75,18.23,29.8,37.8,28.5,37.73,837.77,4.74,0.2,0.35,0.0382,3.4942,Stable
21.19,18.22,30.2,38.2,28.8,38.09,845.64,4.78,0.23,0.35,0.0385,3.51097,Stable
21.62,18.23,30.6,38.5,29.0,38.44,853.51,4.82,0.25,0.36,0.0388,3.51635,Stable
22.05,18.22,31.0,38.9,29.2,38.79,861.37,4.86,0.27,0.36,0.039,3.51918,Stable
22.49,18.23,31.4,39.2,29.5,39.15,869.24,4.9,0.3,0.36,0.0393,3.53823,Stable
22.92,18.23,31.8,39.6,29.7,39.5,877.1,4.94,0.32,0.36,0.0395,3.54075,Stable
23.35,18.23,32.2,39.9,29.9,39.86,884.97,4.98,0.34,0.36,0.0398,3.54862,Stable
23.79,18.24,32.6,40.3,30.2,40.21,892.84,0.02,0.37,0.37,0.04,3.39168,Stable
24.22,18.23,33.0,40.6,30.4,40.57,900.7,0.06,0.39,0.37,0.0403,3.39503,Stable
24.65,18.23,33.4,41.0,30.6,40.92,908.57,0.1,0.41,0.37,0.0405,3.39317,Stable
25.08,18.23,33.8,41.4,30.9,41.28,916.43,0.14,0.44,0.37,0.0407,3.39964,Stable
25.52,18.23,34.2,41.7,31.1,41.63,924.3,0.18,0.46,0.38,0.0409,3.40198,Stable
25.95,18.22,34.6,42.1,31.4,41.98,932.17,0.22,0.48,0.38,0.0412,3.41716,Stable
26.38,18.23,35.0,42.4,31.6,42.34,940.03,0.26,0.51,0.38,0.0413,3.41128,Stable
26.82,18.23,35.4,42.8,31.8,42.69,947.9,0.3,0.53,0.38,0.0416,3.40929,Stable
27.25,18.24,35.7,43.1,32.1,43.05,955.77,0.34,0.55,0.39,0.0418,3.42705,Stable
27.68,18.22,36.1,43.5,32.3,43.4,963.63,0.38,0.58,0.39,0.0421,3.42352,Stable
28.12,18.23,36.5,43.8,32.5,43.76,971.5,0.42,0.6,0.39,0.0423,3.42527,Stable
28.55,18.23,36.9,44.2,32.8,44.11,979.36,0.46,0.62,0.39,0.0424,3.43599,Stable
28.98,18.22,37.3,44.5,33.0,44.46,987.23,0.5,0.65,0.4,0.0426,3.436,Stable
29.42,18.23,37.7,44.9,33.2,44.82,995.1,0.54,0.67,0.4,0.0428,3.43558,Stable
29.85,18.23,38.1,45.2,33.5,45.17,3.96,0.57,0.69,0.4,0.043,2.50213,Stable
30.28,18.22,38.5,45.6,33.7,45.53,11.83,0.61,0.72,0.4,0.0432,2.58171,Stable
30.71,18.23,38.9,46.0,34.0,45.88,19.69,0.65,0.74,0.4,0.0433,2.61449,Stable
31.15,18.23,39.3,46.3,34.2,46.24,27.56,0.69,0.76,0.41,0.0435,2.62376,Stable
31.58,18.23,39.7,46.7,34.4,46.59,35.43,0.73,0.79,0.41,0.0436,2.60871,Stable
32.01,18.23,40.1,47.0,34.7,46.94,43.29,0.77,0.81,0.41,0.0438,2.61203,Stable
32.45,18.23,40.5,47.4,34.9,47.3,51.16,0.81,0.83,0.41,0.044,2.60036,Stable
32.88,18.23,40.9,47.7,35.1,47.65,59.03,0.85,0.86,0.42,0.0441,2.57905,Stable
33.31,18.22,41.2,48.1,35.4,48.01,66.89,0.89,0.88,0.42,0.0444,2.57646,Stable
33.75,18.23,41.6,48.4,35.6,48.36,74.76,0.93,0.9,0.42,0.0445,2.5624,Stable
34.18,18.23,42.0,48.8,35.8,48.72,82.62,0.97,0.93,0.42,0.0446,2.53535,Stable
34.61,18.23,42.4,49.2,36.1,49.07,90.49,1.01,0.95,0.43,0.0448,2.52645,Stable
35.04,18.22,42.8,49.5,36.3,49.42,98.36,1.05,0.97,0.43,0.0449,2.51238,Stable
35.48,18.22,43.2,49.9,36.6,49.78,106.22,1.09,1.0,0.43,0.0451,2.49351,Stable
35.91,18.24,43.6,50.2,36.8,5.13,114.09,1.12,1.02,0.43,0.0452,1.91367,Stable
36.34,18.24,44.0,50.6,37.0,5.49,121.95,1.16,1.04,0.44,0.0453,1.92074,Stable
36.78,18.23,44.4,50.9,37.2,5.84,129.82,1.2,1.07,0.44,0.0454,1.92825,Stable
37.21,18.23,44.8,51.3,37.5,6.2,137.69,1.24,1.09,0.44,0.0456,1.94162,Stable
37.64,18.23,45.2,51.6,37.7,6.55,145.55,1.28,1.11,0.44,0.0457,1.95109,Stable
38.08,18.22,45.6,52.0,38.0,6.91,153.42,1.32,1.14,0.44,0.0458,1.96139,Stable
38.51,18.22,46.0,52.3,38.2,7.26,161.29,1.36,1.16,0.45,0.0459,1.97071,Stable
38.94,18.23,46.4,52.7,38.4,7.61,169.15,1.4,1.18,0.45,0.046,1.97666,Stable
39.38,18.23,46.8,53.0,38.7,7.97,177.02,1.44,1.21,0.45,0.0462,1.99008,Stable
39.81,18.23,47.2,53.4,38.9,8.32,184.88,1.48,1.23,0.45,0.0463,1.9963,Stable
40.24,18.23,47.6,53.8,39.1,8.68,192.75,1.52,1.25,0.46,0.0464,2.0026,Stable
40.67,18.24,47.9,54.1,39.4,9.03,200.62,1.56,1.28,0.46,0.0465,2.01561,Stable
41.11,18.22,48.3,54.5,39.6,9.39,208.48,1.6,1.3,0.46,0.0467,2.02298,Stable
41.54,18.23,48.7,54.8,39.8,9.74,216.35,1.64,1.33,0.46,0.0468,2.02855,Stable
41.97,18.23,49.1,55.2,10.1,10.09,224.21,1.68,1.35,0.47,0.0469,0.67869,Unstable
42.41,18.23,49.5,55.5,10.3,10.45,232.08,1.71,1.37,0.47,0.047,0.68576,Unstable
42.84,18.24,49.9,55.9,10.6,10.8,239.95,1.75,1.4,0.47,0.0471,0.6949,Unstable
43.27,18.23,50.3,56.2,10.8,11.16,247.81,1.79,1.42,0.47,0.0472,0.70177,Unstable
43.71,18.23,50.7,56.6,11.0,11.51,255.68,1.83,1.44,0.48,0.0473,0.70783,Unstable
44.14,18.23,51.1,56.9,11.3,11.87,263.55,1.87,1.47,0.48,0.0474,0.71772,Unstable
44.57,18.22,51.5,57.3,11.5,12.22,271.41,1.91,1.49,0.48,0.0475,0.72393,Unstable
45.01,18.23,51.9,57.6,11.7,12.57,279.28,1.95,1.51,0.48,0.0476,0.73068,Unstable
45.44,18.23,52.3,58.0,12.0,12.93,287.14,1.99,1.54,0.49,0.0477,0.73993,Unstable
45.87,18.23,52.7,58.4,12.2,13.28,295.01,2.03,1.56,0.49,0.0477,0.74559,Unstable
46.3,18.22,53.1,58.7,12.4,13.64,302.88,2.07,1.58,0.49,0.0479,0.75339,Unstable
46.74,18.23,53.5,59.1,12.7,13.99,310.74,2.11,1.61,0.49,0.0479,0.76208,Unstable
47.17,18.23,53.8,59.4,12.9,14.35,318.61,2.15,1.63,0.49,0.0481,0.77033,Unstable
47.6,18.22,54.2,59.8,13.2,14.7,326.47,2.19,1.65,0.5,0.0482,0.78083,Unstable
48.04,18.22,54.6,15.1,13.4,15.05,334.34,2.23,1.68,0.5,0.0483,1.74388,Stable
48.47,18.23,55.0,15.5,13.6,15.41,342.21,2.26,1.7,0.5,0.0483,1.73989,Stable
48.9,18.22,55.4,15.8,13.9,15.76,350.07,2.3,1.72,0.5,0.0484,1.75408,Stable
49.34,18.22,55.8,16.2,14.1,16.12,357.94,2.34,1.75,0.51,0.0485,1.75277,Stable
49.77,18.23,56.2,16.6,14.3,16.47,365.81,2.38,1.77,0.51,0.0486,1.75324,Stable
50.2,18.23,56.6,16.9,14.6,16.83,373.67,2.42,1.79,0.51,0.0487,1.76958,Stable
50.64,18.23,57.0,17.3,14.8,17.18,381.54,2.46,1.82,0.51,0.0487,1.76937,Stable
51.07,18.22,57.4,17.6,15.0,17.54,389.4,2.5,1.84,0.52,0.0488,1.77597,Stable
51.5,18.22,57.8,18.0,15.3,17.89,397.27,2.54,1.86,0.52,0.0489,1.78623,Stable
51.93,18.22,58.2,18.3,15.5,18.24,405.14,2.58,1.89,0.52,0.049,1.79213,Stable
52.37,18.22,58.6,18.7,15.8,18.6,413.0,2.62,1.91,0.52,0.049,1.80194,Stable
52.8,18.23,59.0,19.0,16.0,18.95,420.87,2.66,1.93,0.53,0.0491,1.80863,Stable
53.23,18.23,59.4,19.4,16.2,19.31,428.73,2.7,1.96,0.53,0.0492,1.81059,Stable
53.67,18.24,59.8,19.7,16.5,19.66,436.6,2.74,1.98,0.53,0.0492,1.82617,Stable
54.1,18.22,10.2,20.1,16.7,20.02,444.47,2.78,2.0,0.53,0.2911,5.19578,Stable
54.53,18.22,10.5,20.4,16.9,20.37,452.33,2.81,2.03,0.53,0.285,5.13643,Stable
54.97,18.23,10.9,20.8,17.2,20.72,460.2,2.85,2.05,0.54,0.2766,5.05683,Stable
55.4,18.22,11.3,21.2,17.4,21.08,468.06,2.89,2.07,0.54,0.2691,4.97214,Stable
55.83,18.23,11.7,21.5,17.6,21.43,475.93,2.93,2.1,0.54,0.2618,4.89768,Stable
56.27,18.23,12.1,21.9,17.9,21.79,483.8,2.97,2.12,0.54,0.2551,4.84279,Stable
56.7,18.23,12.5,22.2,18.1,22.14,491.66,3.01,2.14,0.55,0.2488,4.78264,Stable
57.13,18.24,12.9,22.6,18.4,22.5,499.53,3.05,2.17,0.55,0.2428,4.73658,Stable
57.56,18.22,13.3,22.9,18.6,22.85,507.4,3.09,2.19,0.55,0.2375,4.68897,Stable
58.0,18.23,13.7,23.3,18.8,23.2,515.26,3.13,2.21,0.55,0.2322,4.63349,Stable
58.43,18.22,14.1,23.6,19.1,23.56,523.13,3.17,2.24,0.56,0.2274,4.60749,Stable
58.86,18.23,14.5,24.0,19.3,23.91,530.99,3.21,2.26,0.56,0.2227,4.55837,Stable
59.3,18.23,14.9,24.4,19.5,24.27,538.86,3.25,2.28,0.56,0.2183,4.51367,Stable
59.73,18.23,15.3,24.7,19.8,24.62,546.73,3.29,2.31,0.56,0.2141,4.49288,Stable
5.19,18.25,16.1,25.8,20.7,26.42,594.45,3.56,2.5,0.58,0.0177,3.12802,Stable
5.63,18.25,16.5,26.1,21.0,26.77,602.32,3.6,2.52,0.59,0.0187,3.14646,Stable
6.06,18.24,16.9,26.5,21.2,27.13,610.18,3.64,2.54,0.59,0.0197,3.14558,Stable
6.49,18.25,17.3,26.8,21.4,27.48,618.05,3.68,2.57,0.59,0.0206,3.147,Stable
6.92,18.25,17.7,27.2,21.7,27.83,625.92,3.72,2.59,0.59,0.0214,3.15997,Stable
7.36,18.25,18.0,27.6,21.9,28.19,633.78,3.76,2.61,0.6,0.0224,3.16988,Stable
7.79,18.24,18.4,27.9,22.2,28.54,641.65,3.8,2.64,0.6,0.0232,3.1896,Stable
8.22,18.24,18.8,28.3,22.4,28.9,649.51,3.84,2.66,0.3,0.024,3.18993,Stable
8.66,18.25,19.2,28.6,22.6,29.25,657.38,3.88,2.68,0.3,0.0247,3.19372,Stable
9.09,18.25,19.6,29.0,22.9,29.61,665.25,3.92,2.71,0.31,0.0254,3.20921,Stable
9.52,18.24,20.0,29.3,23.1,29.96,673.11,3.96,2.73,0.31,0.0261,3.21612,Stable
9.96,18.24,20.4,29.7,23.3,30.31,680.98,4.0,2.75,0.31,0.0268,3.21805,Stable
10.39,18.25,20.8,30.0,23.6,30.67,688.85,4.04,2.78,0.31,0.0274,3.23727,Stable
10.82,18.24,21.2,30.4,23.8,31.02,696.71,4.07,2.8,0.32,0.028,3.23897,Stable
11.26,18.24,21.6,30.8,24.0,31.38,704.58,4.11,2.82,0.32,0.0286,3.24085,Stable
11.69,18.24,22.0,31.1,24.3,31.73,712.44,4.15,2.85,0.32,0.0291,3.2601,Stable
12.12,18.24,22.4,31.5,24.5,32.09,720.31,4.19,2.87,0.32,0.0297,3.26208,Stable
12.55,18.24,22.8,31.8,24.8,32.44,728.18,4.23,2.89,0.32,0.0302,3.28178,Stable
12.99,18.24,23.2,32.2,25.0,32.8,736.04,4.27,2.92,0.33,0.0307,3.2827,Stable
13.42,18.24,23.6,32.5,25.2,33.15,743.91,4.31,2.94,0.33,0.0312,3.2885,Stable
13.85,18.24,24.0,32.9,25.5,33.5,751.77,4.35,2.96,0.33,0.0316,3.30333,Stable
14.29,18.25,24.4,33.2,25.7,33.86,759.64,4.39,2.99,0.33,0.0321,3.30883,Stable
14.72,18.25,24.7,33.6,25.9,34.21,767.51,4.43,0.04,0.34,0.0327,3.44585,Stable
15.15,18.25,25.1,33.9,26.2,34.57,775.37,4.47,0.06,0.34,0.0331,3.46593,Stable
15.59,18.24,25.5,34.3,26.4,34.92,783.24,4.51,0.09,0.34,0.0335,3.46829,Stable
16.02,18.25,25.9,34.6,26.6,35.28,791.1,4.55,0.11,0.34,0.0339,3.47391,Stable
16.45,18.25,26.3,35.0,26.9,35.63,798.97,4.59,0.13,0.35,0.0343,3.49077,Stable
16.89,18.24,26.7,35.4,27.1,35.98,806.84,4.62,0.16,0.35,0.0347,3.49416,Stable
17.32,18.25,27.1,35.7,27.4,36.34,814.7,4.66,0.18,0.35,0.035,3.51354,Stable
17.75,18.25,27.5,36.1,27.6,36.69,822.57,4.7,0.2,0.35,0.0354,3.51629,Stable
18.18,18.24,27.9,36.4,27.8,37.05,830.44,4.74,0.23,0.36,0.0357,3.5234,Stable
18.62,18.25,28.3,36.8,28.1,37.4,838.3,4.78,0.25,0.36,0.0361,3.53888,Stable
19.05,18.25,28.7,37.1,28.3,37.76,846.17,4.82,0.27,0.36,0.0364,3.54534,Stable
19.48,18.24,29.1,37.5,28.5,38.11,854.03,4.86,0.3,0.36,0.0367,3.54793,Stable
19.92,18.24,29.5,37.8,28.8,38.46,861.9,4.9,0.32,0.36,0.037,3.56774,Stable
20.35,18.25,29.9,38.2,29.0,38.82,869.77,4.94,0.34,0.37,0.0373,3.56883,Stable
20.78,18.25,30.2,38.5,29.2,39.17,877.63,4.98,0.37,0.37,0.0377,3.58093,Stable
21.22,18.24,30.6,38.9,29.5,39.53,885.5,0.03,0.39,0.37,0.038,3.41318,Stable
21.65,18.25,31.0,39.2,29.7,39.88,893.36,0.07,0.41,0.37,0.0383,3.41292,Stable
22.08,18.24,31.4,39.6,30.0,40.24,901.23,0.11,0.44,0.38,0.0386,3.41959,Stable
22.52,18.25,31.8,40.0,30.2,40.59,909.1,0.15,0.46,0.38,0.0388,3.41591,Stable
22.95,18.25,32.2,40.3,30.4,40.94,916.96,0.18,0.48,0.38,0.0391,3.41733,Stable
23.38,18.24,32.6,40.7,30.7,41.3,924.83,0.22,0.51,0.38,0.0393,3.42528,Stable
